DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,date,weekday
556.0,600,708.0,716,UA,444,N929UA,-8.0,-4.0,MSP,ORD,334.0,0,,0,,,,,,2008-03-16,Sunday
841.0,845,958.0,1008,B6,262,N506JB,-10.0,-4.0,LGB,SMF,387.0,0,,0,,,,,,2008-08-06,Wednesday
1420.0,1430,1431.0,1445,OO,2813,N496CA,-14.0,-10.0,CMH,MKE,331.0,0,,0,,,,,,2008-08-13,Wednesday
1919.0,1910,2127.0,2055,MQ,4861,N734EK,32.0,9.0,DTW,LGA,501.0,0,,0,0.0,0.0,23.0,0.0,9.0,2008-05-01,Thursday
1642.0,1640,1733.0,1745,WN,2883,N257WN,-12.0,2.0,LAX,LAS,236.0,0,,0,,,,,,2008-07-01,Tuesday
2219.0,2055,2357.0,2223,CO,442,N27610,94.0,84.0,IAH,TUL,429.0,0,,0,0.0,84.0,10.0,0.0,0.0,2008-06-29,Sunday
900.0,905,1021.0,1030,OH,6533,N588SW,-9.0,-5.0,JFK,BWI,184.0,0,,0,,,,,,2008-12-08,Monday
,1855,,1936,OO,5564,N217SW,,,SFO,SMF,86.0,1,C,0,,,,,,2008-02-23,Saturday
1019.0,1025,1335.0,1351,NW,1070,N321NB,-16.0,-6.0,MSP,BWI,936.0,0,,0,,,,,,2008-10-15,Wednesday
1553.0,1454,1644.0,1556,YV,7307,N75994,48.0,59.0,BMI,ORD,116.0,0,,0,0.0,0.0,0.0,0.0,48.0,2008-01-18,Friday
1058.0,1100,1302.0,1319,CO,1004,N33292,-17.0,-2.0,MCO,CLE,895.0,0,,0,,,,,,2008-08-28,Thursday
1335.0,1240,1614.0,1516,YV,2650,N904FJ,58.0,55.0,MEM,CLT,512.0,0,,0,58.0,0.0,0.0,0.0,0.0,2008-12-01,Monday
731.0,725,921.0,919,OO,6550,N954SW,2.0,6.0,TUS,DEN,639.0,0,,0,,,,,,2008-02-23,Saturday
658.0,705,950.0,1010,CO,1401,N16617,-20.0,-7.0,EWR,FLL,1065.0,0,,0,,,,,,2008-05-07,Wednesday
2045.0,1910,2245.0,2059,YV,2698,N916FJ,106.0,95.0,CLT,DTW,500.0,0,,0,0.0,0.0,11.0,0.0,95.0,2008-05-02,Friday
1938.0,1941,2040.0,2045,9E,2965,87979E,-5.0,-3.0,DTW,SBN,157.0,0,,0,,,,,,2008-11-13,Thursday
722.0,725,916.0,910,AA,2013,N5FCAA,6.0,-3.0,ORD,LAS,1515.0,0,,0,,,,,,2008-05-26,Monday
1651.0,1655,1812.0,1815,MQ,3152,N848AE,-3.0,-4.0,SJC,SNA,342.0,0,,0,,,,,,2008-09-24,Wednesday
2017.0,2021,2135.0,2157,OO,5710,N560SW,-22.0,-4.0,LAS,FAT,258.0,0,,0,,,,,,2008-06-06,Friday
2050.0,2055,2145.0,2158,OO,5862,N960SW,-13.0,-5.0,DEN,DRO,251.0,0,,0,,,,,,2008-05-14,Wednesday
1425.0,1425,1607.0,1604,F9,795,N925FR,3.0,0.0,DEN,PDX,992.0,0,,0,,,,,,2008-07-30,Wednesday
2222.0,2223,2238.0,2234,NW,1245,N8929E,4.0,-1.0,DTW,ORD,235.0,0,,0,,,,,,2008-09-10,Wednesday
955.0,940,1234.0,1225,WN,1078,N513SW,9.0,15.0,SAN,ABQ,628.0,0,,0,,,,,,2008-05-20,Tuesday
1508.0,1517,1600.0,1625,9E,5866,86839E,-25.0,-9.0,DTW,OMA,651.0,0,,0,,,,,,2008-10-25,Saturday
1138.0,1145,1923.0,1939,DL,172,N133DN,-16.0,-7.0,SEA,ATL,2182.0,0,,0,,,,,,2008-08-28,Thursday
2310.0,2200,100.0,2,OH,5531,N443CA,58.0,70.0,LGA,CHS,641.0,0,,0,0.0,58.0,0.0,0.0,0.0,2008-06-26,Thursday
1057.0,1050,1100.0,1055,WN,1508,N410WN,5.0,7.0,DTW,MDW,229.0,0,,0,,,,,,2008-09-02,Tuesday
1111.0,1114,1836.0,1815,NW,1196,N528US,21.0,-3.0,LAS,DTW,1750.0,0,,0,0.0,0.0,21.0,0.0,0.0,2008-01-08,Tuesday
642.0,650,955.0,1020,AA,1981,N4XEAA,-25.0,-8.0,BOS,DFW,1562.0,0,,0,,,,,,2008-04-06,Sunday
950.0,950,1255.0,1250,WN,1480,N248WN,5.0,0.0,MDW,ISP,765.0,0,,0,,,,,,2008-11-09,Sunday
713.0,715,1006.0,1014,CO,216,N37615,-8.0,-2.0,IAH,MSP,1034.0,0,,0,,,,,,2008-03-17,Monday
1855.0,1756,2008.0,1843,UA,429,N936UA,85.0,59.0,PIT,ORD,412.0,0,,0,0.0,0.0,85.0,0.0,0.0,2008-12-14,Sunday
1734.0,1730,1929.0,1925,WN,118,N528SW,4.0,4.0,SJC,PHX,621.0,0,,0,,,,,,2008-08-03,Sunday
2256.0,2230,2346.0,2325,9E,5841,89249E,21.0,26.0,DTW,SBN,157.0,0,,0,21.0,0.0,0.0,0.0,0.0,2008-05-02,Friday
713.0,715,837.0,842,XE,2520,N16520,-5.0,-2.0,IAH,XNA,438.0,0,,0,,,,,,2008-05-21,Wednesday
646.0,650,826.0,816,CO,1682,N15712,10.0,-4.0,RDU,EWR,416.0,0,,0,,,,,,2008-12-07,Sunday
1737.0,1740,1959.0,2000,US,639,N801AW,-1.0,-3.0,CMH,PHX,1671.0,0,,0,,,,,,2008-01-03,Thursday
1418.0,1420,1709.0,1724,B6,1150,N274JB,-15.0,-2.0,MCO,PWM,1214.0,0,,0,,,,,,2008-06-17,Tuesday
734.0,739,1219.0,1232,NW,1224,N352NW,-13.0,-5.0,DEN,DTW,1123.0,0,,0,,,,,,2008-07-10,Thursday
1716.0,1602,1950.0,1846,UA,1175,N430UA,64.0,74.0,SEA,LAX,954.0,0,,0,0.0,0.0,0.0,0.0,64.0,2008-07-12,Saturday
1232.0,1230,1414.0,1417,DL,1599,N629DL,-3.0,2.0,ATL,RSW,515.0,0,,0,,,,,,2008-01-30,Wednesday
2001.0,1930,2134.0,2122,XE,2747,N14993,12.0,31.0,EWR,BNA,748.0,0,,0,,,,,,2008-02-19,Tuesday
1329.0,1252,1501.0,1420,9E,5818,91539E,41.0,37.0,ATL,DAY,432.0,0,,0,0.0,0.0,4.0,0.0,37.0,2008-12-28,Sunday
1100.0,1052,1639.0,1642,UA,1620,N445UA,-3.0,8.0,LAX,MSY,1671.0,0,,0,,,,,,2008-06-20,Friday
1658.0,1700,1839.0,1829,XE,3086,N13995,10.0,-2.0,EWR,ACK,218.0,0,,0,,,,,,2008-08-22,Friday
1801.0,1535,2232.0,2000,AA,740,N409AA,152.0,146.0,DFW,LGA,1389.0,0,,0,0.0,0.0,152.0,0.0,0.0,2008-02-10,Sunday
2055.0,1835,2259.0,2050,YV,2945,N919FJ,129.0,140.0,ONT,PHX,325.0,0,,0,129.0,0.0,0.0,0.0,0.0,2008-11-09,Sunday
1700.0,1705,1857.0,1845,MQ,4574,N709GB,12.0,-5.0,BOS,DCA,399.0,0,,0,,,,,,2008-05-28,Wednesday
2030.0,2000,2316.0,2220,AA,899,N493AA,56.0,30.0,DCA,DFW,1192.0,0,,0,0.0,8.0,26.0,0.0,22.0,2008-02-21,Thursday
1545.0,1520,1758.0,1742,OH,6370,N685BR,16.0,25.0,AVP,ATL,714.0,0,,0,16.0,0.0,0.0,0.0,0.0,2008-11-01,Saturday
2006.0,2000,2108.0,2120,US,2189,N724UW,-12.0,6.0,LGA,DCA,214.0,0,,0,,,,,,2008-05-29,Thursday
1149.0,1156,1214.0,1234,OO,6107,N406SW,-20.0,-7.0,MRY,SFO,77.0,0,,0,,,,,,2008-10-23,Thursday
1501.0,1500,1547.0,1555,WN,3581,N414WN,-8.0,1.0,MCO,JAN,587.0,0,,0,,,,,,2008-03-11,Tuesday
1554.0,1556,1638.0,1642,OO,5750,N294SW,-4.0,-2.0,LAX,CLD,86.0,0,,0,,,,,,2008-10-08,Wednesday
1245.0,1250,1421.0,1425,AA,2333,N519AA,-4.0,-5.0,BOS,ORD,867.0,0,,0,,,,,,2008-05-09,Friday
1924.0,1929,2014.0,2034,US,133,N824AW,-20.0,-5.0,LAS,SNA,226.0,0,,0,,,,,,2008-05-10,Saturday
832.0,845,1151.0,1220,HA,1,N598HA,-29.0,-13.0,LAX,HNL,2556.0,0,,0,,,,,,2008-02-16,Saturday
755.0,800,1024.0,1027,FL,181,N977AT,-3.0,-5.0,DCA,RSW,892.0,0,,0,,,,,,2008-01-22,Tuesday
1349.0,1340,1714.0,1730,AA,1154,N489AA,-16.0,9.0,MSP,LGA,1020.0,0,,0,,,,,,2008-05-14,Wednesday
956.0,945,1114.0,1110,WN,3931,N724SW,4.0,11.0,SJC,LAS,386.0,0,,0,,,,,,2008-05-21,Wednesday
610.0,615,728.0,745,FL,117,N292AT,-17.0,-5.0,IND,ATL,432.0,0,,0,,,,,,2008-10-28,Tuesday
2035.0,2015,2210.0,2157,FL,662,N945AT,13.0,20.0,ATL,PBI,545.0,0,,0,,,,,,2008-06-10,Tuesday
1444.0,1440,1554.0,1550,AA,1463,N412AA,4.0,4.0,SAT,DFW,247.0,0,,0,,,,,,2008-11-04,Tuesday
1455.0,1459,1543.0,1555,MQ,3236,N286AE,-12.0,-4.0,LAW,DFW,140.0,0,,0,,,,,,2008-02-17,Sunday
1040.0,1045,1245.0,1315,9E,4776,87189E,-30.0,-5.0,LGA,IND,659.0,0,,0,,,,,,2008-10-07,Tuesday
1602.0,1605,1837.0,1841,OO,4037,N821SK,-4.0,-3.0,ORD,SLC,1249.0,0,,0,,,,,,2008-02-20,Wednesday
954.0,948,1623.0,1616,DL,778,N694DA,7.0,6.0,SLC,EWR,1968.0,0,,0,,,,,,2008-03-22,Saturday
903.0,905,1027.0,1030,AA,851,N4YBAA,-3.0,-2.0,ORD,MSP,334.0,0,,0,,,,,,2008-10-02,Thursday
719.0,720,853.0,900,WN,223,N493WN,-7.0,-1.0,TPA,RDU,587.0,0,,0,,,,,,2008-03-02,Sunday
635.0,640,1151.0,1201,NW,1026,N525US,-10.0,-5.0,PDX,MSP,1426.0,0,,0,,,,,,2008-02-25,Monday
1322.0,1315,2141.0,2135,HA,2,N584HA,6.0,7.0,HNL,LAX,2556.0,0,,0,,,,,,2008-09-01,Monday
1936.0,1900,2105.0,2005,WN,76,N634SW,60.0,36.0,IND,LAS,1591.0,0,,0,8.0,0.0,24.0,0.0,28.0,2008-03-27,Thursday
715.0,723,1116.0,1119,OO,6096,N753SK,-3.0,-8.0,SLC,ORD,1249.0,0,,0,,,,,,2008-09-09,Tuesday
1610.0,1620,1853.0,1908,DL,1266,N910DN,-15.0,-10.0,SNA,SLC,588.0,0,,0,,,,,,2008-04-18,Friday
935.0,935,1408.0,1425,WN,1201,N305SW,-17.0,0.0,LAS,MCI,1140.0,0,,0,,,,,,2008-02-02,Saturday
903.0,915,1041.0,1053,US,1539,N958UW,-12.0,-12.0,LGA,PIT,335.0,0,,0,,,,,,2008-09-30,Tuesday
746.0,725,907.0,855,WN,1685,N665WN,12.0,21.0,SDF,BWI,495.0,0,,0,,,,,,2008-08-01,Friday
1237.0,1230,1415.0,1410,AA,520,N5CEAA,5.0,7.0,DFW,STL,551.0,0,,0,,,,,,2008-08-10,Sunday
2026.0,2020,2129.0,2131,US,1470,N960UW,-2.0,6.0,PHL,SYR,228.0,0,,0,,,,,,2008-06-19,Thursday
2037.0,2035,2159.0,2200,WN,1284,N406WN,-1.0,2.0,SFO,SAN,447.0,0,,0,,,,,,2008-08-27,Wednesday
1552.0,1555,1851.0,1855,B6,468,N517JB,-4.0,-3.0,RSW,BOS,1249.0,0,,0,,,,,,2008-12-16,Tuesday
1826.0,1740,2034.0,2002,OH,5494,N443CA,32.0,46.0,STL,CVG,307.0,0,,0,32.0,0.0,0.0,0.0,0.0,2008-01-02,Wednesday
1304.0,1300,1417.0,1420,MQ,3701,N676MQ,-3.0,4.0,DFW,CRP,354.0,0,,0,,,,,,2008-10-03,Friday
2209.0,2210,507.0,518,NW,208,N595NW,-11.0,-1.0,SEA,DTW,1927.0,0,,0,,,,,,2008-05-17,Saturday
826.0,830,1044.0,1034,NW,179,N364NB,10.0,-4.0,MEM,LAX,1619.0,0,,0,,,,,,2008-09-05,Friday
820.0,820,1409.0,1420,AA,500,N3ADAA,-11.0,0.0,PHX,MIA,1972.0,0,,0,,,,,,2008-01-13,Sunday
1359.0,1400,1917.0,1940,WN,2721,N735SA,-23.0,-1.0,LAS,MDW,1521.0,0,,0,,,,,,2008-07-15,Tuesday
1502.0,1500,1634.0,1645,WN,3487,N303SW,-11.0,2.0,TPA,MDW,997.0,0,,0,,,,,,2008-04-11,Friday
940.0,940,1021.0,1030,MQ,3528,N684MQ,-9.0,0.0,GRK,DFW,134.0,0,,0,,,,,,2008-12-15,Monday
1022.0,1029,1146.0,1157,OO,6404,N958SW,-11.0,-7.0,EUG,SFO,451.0,0,,0,,,,,,2008-10-26,Sunday
1544.0,1541,1712.0,1706,FL,767,N300AT,6.0,3.0,ATL,LAS,1747.0,0,,0,,,,,,2008-09-11,Thursday
2127.0,2000,2336.0,2134,XE,7811,N14179,122.0,87.0,DEN,LAX,862.0,0,,0,0.0,0.0,35.0,0.0,87.0,2008-01-21,Monday
629.0,635,808.0,805,AA,1164,N241AA,3.0,-6.0,MFE,DFW,468.0,0,,0,,,,,,2008-01-30,Wednesday
1545.0,1530,1622.0,1617,OO,5416,N301YV,5.0,15.0,SAN,LAX,109.0,0,,0,,,,,,2008-07-23,Wednesday
655.0,630,834.0,817,OH,5243,N595SW,17.0,25.0,ROC,CVG,461.0,0,,0,17.0,0.0,0.0,0.0,0.0,2008-07-07,Monday
837.0,845,1145.0,1155,WN,1302,N333SW,-10.0,-8.0,PHX,AUS,872.0,0,,0,,,,,,2008-11-04,Tuesday
1448.0,1452,1559.0,1610,YV,7118,N448YV,-11.0,-4.0,DEN,CPR,230.0,0,,0,,,,,,2008-10-23,Thursday
936.0,940,1333.0,1345,MQ,4873,N701MH,-12.0,-4.0,XNA,LGA,1147.0,0,,0,,,,,,2008-06-20,Friday
1138.0,1145,1216.0,1245,OO,3805,N863AS,-29.0,-7.0,PIH,SLC,150.0,0,,0,,,,,,2008-09-14,Sunday
626.0,630,732.0,714,OO,6564,N712SK,18.0,-4.0,COS,DEN,72.0,0,,0,0.0,0.0,0.0,0.0,18.0,2008-01-19,Saturday
848.0,900,1036.0,1101,NW,1443,N369NW,-25.0,-12.0,PVD,DTW,614.0,0,,0,,,,,,2008-04-22,Tuesday
1346.0,1350,1603.0,1540,AA,311,N471AA,23.0,-4.0,STL,SNA,1570.0,0,,0,0.0,0.0,23.0,0.0,0.0,2008-06-19,Thursday
1719.0,1720,1854.0,1921,DL,822,N372DA,-27.0,-1.0,ATL,DCA,547.0,0,,0,,,,,,2008-08-30,Saturday
2140.0,2140,2239.0,2233,F9,179,N806FR,6.0,0.0,DEN,TUS,639.0,0,,0,,,,,,2008-10-09,Thursday
1124.0,1120,1446.0,1425,MQ,4414,N854MQ,21.0,4.0,ORD,HPN,738.0,0,,0,0.0,0.0,21.0,0.0,0.0,2008-10-24,Friday
730.0,730,851.0,900,DL,1725,N396DA,-9.0,0.0,LEX,ATL,303.0,0,,0,,,,,,2008-06-14,Saturday
750.0,755,833.0,851,OO,5966,N907SW,-18.0,-5.0,ORD,SPI,174.0,0,,0,,,,,,2008-06-19,Thursday
1249.0,1210,1421.0,1321,DL,1037,N394DA,60.0,39.0,CLT,ATL,227.0,0,,0,0.0,0.0,21.0,0.0,39.0,2008-05-15,Thursday
716.0,715,900.0,905,WN,150,N481WN,-5.0,1.0,MDW,PHX,1444.0,0,,0,,,,,,2008-10-16,Thursday
719.0,720,809.0,810,WN,217,N690SW,-1.0,-1.0,HOU,SAT,192.0,0,,0,,,,,,2008-09-08,Monday
855.0,900,1220.0,1229,UA,558,N933UA,-9.0,-5.0,LAX,DEN,862.0,0,,0,,,,,,2008-11-13,Thursday
705.0,705,823.0,821,OH,5249,N927CA,2.0,0.0,DTW,CVG,229.0,0,,0,,,,,,2008-02-18,Monday
752.0,800,1025.0,1027,US,293,N160AW,-2.0,-8.0,SEA,LAS,866.0,0,,0,,,,,,2008-04-04,Friday
622.0,630,948.0,1003,XE,2997,N16976,-15.0,-8.0,MSP,EWR,1008.0,0,,0,,,,,,2008-05-21,Wednesday
1132.0,1135,1247.0,1237,US,450,N661AW,10.0,-3.0,ATL,PHX,1587.0,0,,0,,,,,,2008-06-13,Friday
1828.0,1815,2001.0,1955,MQ,4337,N675AE,6.0,13.0,BNA,ORD,409.0,0,,0,,,,,,2008-08-06,Wednesday
1833.0,1825,1943.0,1946,OO,5451,N251YV,-3.0,8.0,SFO,ACV,250.0,0,,0,,,,,,2008-04-03,Thursday
1611.0,1626,1652.0,1702,OO,5931,N718SK,-10.0,-15.0,OKC,DEN,495.0,0,,0,,,,,,2008-12-20,Saturday
907.0,900,1053.0,1109,NW,365,N518US,-16.0,7.0,MSP,SFO,1589.0,0,,0,,,,,,2008-12-06,Saturday
1555.0,1555,1807.0,1758,XE,216,N11164,9.0,0.0,SAT,SMF,1463.0,0,,0,,,,,,2008-03-20,Thursday
1533.0,1537,1648.0,1650,FL,113,N326AT,-2.0,-4.0,ATL,DFW,732.0,0,,0,,,,,,2008-01-11,Friday
1623.0,1620,1700.0,1700,WN,2173,N524SW,0.0,3.0,DAL,ELP,562.0,0,,0,,,,,,2008-06-13,Friday
1455.0,1450,1631.0,1635,WN,2500,N344SW,-4.0,5.0,RNO,PHX,601.0,0,,0,,,,,,2008-03-29,Saturday
713.0,720,936.0,945,DL,752,N375DA,-9.0,-7.0,MSY,ATL,425.0,0,,0,,,,,,2008-02-05,Tuesday
